Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Testation and the Mind [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Washington and Lee Law Review, Vol. 74, Issue 1 (Winter 2017), pp. 285-368",74 Wash. & Lee L. Rev. 285 (Winter 2017),4,na,19,"Estates, Estate Planning, Inheritance, Jurisprudence, Evidence, States",2172.0
Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Real Property, Trust and Estate Law Journal, Vol. 50, Issue 2 (Fall 2015), pp. 175-266",50 Real Prop. Tr. & Est. L.J. 175 (2015-2016),3,na,18,"Children, Wills, Bankruptcy Law, Courts, Domestic Relations, Domestic Violence, Federal Courts, Violence",2172.0
"Gulliver and Tilson, the Classification of Gratuitous Transfers - a Belated Review [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"University of Queensland Law Journal, Vol. 35, Issue 1 (2016), pp. 127-134",35 U. Queensland L.J. 127 (2016),1,na,13,"Wills, Contracts, Jurisprudence",2172.0
Teaching Wills and Trusts: The Jurisdictional Problem [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Saint Louis University Law Journal, Vol. 58, Issue 3 (Spring 2014), pp. 681-688",58 St. Louis U. L.J. 681 (2013-2014),1,na,2,"Trusts, Wills, Estates, Property",2172.0
Defective Catastrophe Clauses in Wills: Paths to Reform [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Real Property, Trust and Estate Law Journal, Vol. 52, Issue 3 (Winter 2018), pp. 339-368",52 Real Prop. Tr. & Est. L.J. 339 (2017-2018),1,na,6,"Wills, Common Law, Courts, Equity, Property, Property Law",2172.0
Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"GP Solo, Vol. 34, Issue 2 (March/April 2017), pp. 56-57",34 GPSolo 56 (2017),na,na,2,"Children, Wills, Statutes",2172.0
From Pillory to Penitentiary: The Rise of Criminal Incarceration in Early Massachusetts [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Michigan Law Review, Vol. 80, Issue 6 (May 1982), pp. 1179-1269",80 Mich. L. Rev. 1179 (May 1982),na,na,na,"General, Research, International Law",2172.0
The State (Never) Rests: How Excessive Prosecutorial Caseloads Harm Criminal Defendants [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times); Killinger, Laura R. (Cited 61 times)",,"Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 261-302",105 Nw. U. L. Rev. 261 (2011),60,na,66,"Criminal Law and Procedure, Legal Profession, Military, War and Peace",1244.0
The iPhone Meets the Fourth Amendment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"UCLA Law Review , Vol. 56, Issue 1 (October 2008), pp. 27-58",56 UCLA L. Rev. 27 (2008-2009),59,10,42,"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections, Intellectual Property Law",1244.0
Prosecutorial Shaming: Naming Attorneys to Reduce Prosecutorial Misconduct [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"U.C. Davis Law Review, Vol. 42, Issue 4 (April 2009), pp. 1059-1106",42 U.C. Davis L. Rev. 1059 (2008-2009),51,3,62,"Criminal Law and Procedure, Legal Profession, Professional Ethics",1244.0
"Supreme Court's Backwards Proportionality Jurisprudence: Comparing Judicial Review of Excessive Criminal Punishments and Excessive Punitive Damages Awards, The [notes]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Virginia Law Review, Vol. 86, Issue 6 (September 2000), pp. 1249-1302",86 Va. L. Rev. 1249 (2000),42,1,6,"Courts, Criminal Law and Procedure, Punitive Damages, Remedies, Jurisprudence, Torts",1244.0
"Informational Approach to the Mass Imprisonment Problem, An [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Arizona State Law Journal, Vol. 40, Issue 1 (Spring 2008), pp. 47-84",40 Ariz. St. L.J. 47 (Spring 2008),39,na,21,"Criminal Law and Procedure, Law Enforcement and Corrections, Legal Profession, Sentencing and Punishment, Criminal Procedure, Grand Juries, Politics",1244.0
Password Protected - Can a Password Save Your Cell Phone from a Search Incident to Arrest [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Iowa Law Review, Vol. 96, Issue 4 (May 2011), pp. 1125-1176",96 Iowa L. Rev. 1125 (May 2011),35,2,27,"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections",1244.0
Statewide Capital Punishment: The Case for Eliminating Counties' Role in the Death Penalty [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Vanderbilt Law Review, Vol. 63, Issue 2 (March 2010), pp. 307-360",63 Vand. L. Rev. 307 (2010),34,na,49,"Criminal Law and Procedure, State and Local Government Law, Judges, Civil Rights, Race and Ethnicity",1244.0
Raise the Proof: A Default Rule for Indigent Defense [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Connecticut Law Review, Vol. 40, Issue 1 (November 2007), pp. 85-124",40 Conn. L. Rev. 85 (2007-2008),32,na,19,"Criminal Law and Procedure, Social Welfare Law, Constitutional Law, Courts",1244.0
The Invisible Pillar of Gideon [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Indiana Law Journal, Vol. 80, Issue 3 (Summer 2005), pp. 571-604",80 Ind. L.J. 571 (2005),30,na,7,"Indigents, Law Enforcement and Corrections, Attorneys, Criminal Law and Procedure, Legal Representation, Right to Counsel",1244.0
Imposing a Cap on Capital Punishment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Missouri Law Review, Vol. 72, Issue 1 (Winter 2007), pp. 73-124",72 Mo. L. Rev. 73 (2007),18,na,10,"Criminal Law and Procedure, Law and Society, Law Enforcement and Corrections",1244.0
12 Unnecessary Men: The Case for Eliminating Jury Trials in Drunk Driving Cases [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"University of Illinois Law Review, Vol. 2011, Issue 3 (2011), pp. 961-1010",2011 U. Ill. L. Rev. 961 (2011),15,na,11,"Drunk Driving, Jury, Practice and Procedure, Sentencing, Trials, Alcohol, Dram Shop Laws, Liability, Social Host Liability, Statutory Construction",1244.0
"Pay Now, Execute Later: Why Counties Should Be Required to Post a Bond to Seek the Death Penalty [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"University of Richmond Law Review , Vol. 41, Issue 4 (May 2007), pp. 861-896",41 U. Rich. L. Rev. 861 (2006-2007),15,2,12,"Criminal Law and Procedure, State and Local Government Law",1244.0
The Diffusion of Responsibility in Capital Clemency [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Journal of Law & Politics, Vol. 17, Issue 4 (Fall 2001), pp. 669-712",17 J.L. & Pol. 669 (2001),14,na,12,"Criminal Law and Procedure, Sentencing, Capital Punishment, Clemency, Governors, Pardons, State Agencies",1244.0
Texting while Driving Meets the Fourth Amendment: Deterring Both Texting and Warrantless Cell Phone Searches [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Arizona Law Review, Vol. 54, Issue 3 (2012), pp. 577-620",54 Ariz. L. Rev. 577 (2012),11,na,54,"Cell Phones, Communications Law, Fourth Amendment, Law Enforcement and Corrections, Traffic Laws, Motor Vehicles",1244.0
Imputed Liability for Supervising Prosecutors: Applying the Military Doctrine of Command Responsibility to Reduce Prosecutorial Misconduct [article],Adam M. Gershowitz,"Corn, Geoffrey S. (Cited 407 times); Gershowitz, Adam M. (Cited 516 times)",,"Berkeley Journal of Criminal Law, Vol. 14, Issue 2 (2010), pp. 395-438",14 Berkeley J. Crim. L. 395 (2009-2010),11,na,8,"Military, War and Peace, Criminal Law and Procedure, Legal Profession, Professional Ethics",1244.0
The Post-Riley Search Warrant: Search Protocols and Particularity in Cell Phone Searches [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Vanderbilt Law Review, Vol. 69, Issue 3 (April 2016), pp. 585-638",69 Vand. L. Rev. 585 (2016),7,2,34,"Criminal Law and Procedure, Information Privacy, Communications Law, Science and Technology",1244.0
Consolidating Local Criminal Justice: Should the Prosecutors Control the Jails [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Wake Forest Law Review, Vol. 51, Issue 3 (2016), pp. 677-704",51 Wake Forest L. Rev. 677 (2016),7,na,24,"Jurisdiction, Law Enforcement, Criminal Law and Procedure, Legal Profession, Sentencing and Punishment, Law Enforcement and Corrections",1244.0
"Seizing a Cell Phone Incident to Arrest: Data Extraction Devices, Faraday Bags, or Aluminum Foil as a Solution to the Warrantless Cell Phone Search Problem [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"William & Mary Bill of Rights Journal, Vol. 22, Issue 2 (December 2013), pp. 601-612",22 Wm. & Mary Bill Rts. J. 601 (2013-2014),7,na,20,"Communications Law, Law Enforcement and Corrections, Criminal Law and Procedure, Information Privacy",1244.0
An NTSB for Capital Punishment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Texas Tech Law Review, Vol. 47, Issue 1 (Fall 2014), pp. 151-178",47 Tex. Tech L. Rev. 151 (2014-2015),6,na,22,"Capital Punishment, Punishment, Aviation, Administrative Law",1244.0
Is Texas Tough on Crime but Soft on Criminal Procedure [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"American Criminal Law Review, Vol. 49, Issue 1 (Winter 2012), pp. 31-72",49 Am. Crim. L. Rev. 31 (2012),5,na,24,"Sentencing, Supreme Court of the United States, Race and Ethnicity, Criminal Law and Procedure, Jurisprudence, Legal Analysis and Writing, Psychiatry and Psychology",1244.0
Rethinking the Timing of Capital Clemency [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Michigan Law Review, Vol. 113, Issue 1 (October 2014), pp. 1-56",113 Mich. L. Rev. 1 (2014-2015),4,na,18,"Criminal Law and Procedure, President/Executive Department",1244.0
Google Glass While Driving [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Arizona State Law Journal, Vol. 47, Issue 3 (Fall 2015), pp. 755-800",47 Ariz. St. L.J. 755 (2015),2,na,8,"Communications Law, Science and Technology, Traffic Laws, Legislation, Employment Practice, Labor Law, Privacy",1244.0
Delaware's Capital Jury Selection: Inadequate Voir Dire and the Problem of Automatic Death Penalty Jurors [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Delaware Law Review, Vol. 2, Issue 2 (1999), pp. 235-270",2 Del. L. Rev. 235 (1999),2,na,5,"Criminal Law and Procedure, Evidence",1244.0
Post-Trial Plea Bargaining in Capital Cases: Using Conditional Clemency to Remove Weak Cases from Death Row [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Washington and Lee Law Review, Vol. 73, Issue 3 (Summer 2016), pp. 1359-1394",73 Wash. & Lee L. Rev. 1359 (2016),1,na,14,"President/Executive Department, Sentencing, Criminal Law and Procedure, Women",1244.0
The Wire as a Gap-Filling Class on Criminal Law and Procedure [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Journal of Legal Education, Vol. 64, Issue 1 (August 2014), pp. 117-119",64 J. Legal Educ. 117 (2014-2015),na,na,11,"Criminal Law, Criminal Law and Procedure, Procedure, Law and Society, Criminal Procedure",1244.0
Get in the Game or Get out of the Way: Fixing the Politics of Death [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Virginia Law Review in Brief, Vol. 94, pp. 51-56",94 Va. L. Rev. Brief 51 (2008),na,na,na,"Criminal Law and Procedure, Juveniles",1244.0
Criminal-Justice Apps: A Modest Step toward Democratizing the Criminal Process [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)",,"Virginia Law Review Online, Vol. 105, pp. 37-56",105 Va. L. Rev. Online 37 (2019),na,na,na,na,1244.0
Dead Hand Arguments and Constitutional Interpretation [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Columbia Law Review , Vol. 108, Issue 3 (April 2008), pp. 606-680",108 Colum. L. Rev. 606 (2008),64,na,22,"Constitutional Law, Courts",7437.0
"Government Secrets, Constitutional Law, and Platforms for Judicial Intervention [article]",Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"UCLA Law Review, Vol. 53, Issue 4 (April 2006), pp. 909-976",53 UCLA L. Rev. 909 (2005-2006),54,na,28,"Constitutional Law, Government, Judges, Communications Law, Identity Theft, Notice, Theft, Property",7437.0
Randomization in Adjudication [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"William and Mary Law Review, Vol. 51, Issue 1 (October 2009), pp. 1-86",51 Wm. & Mary L. Rev. 1 (2009-2010),52,na,26,"Judges, Gaming, Jurisprudence, Lotteries, Prisoners",7437.0
Gun Control after Heller: Threats and Sideshows from a Social Welfare Perspective [article],Adam M. Samaha,"Cook, Philip J. (Cited 332 times); Ludwig, Jens (Cited 204 times); Samaha, Adam M. (Cited 469 times)",,"UCLA Law Review , Vol. 56, Issue 5 (June 2009), pp. 1041-1094",56 UCLA L. Rev. 1041 (2008-2009),43,4,69,"Law and Society, Second Amendment, Social Welfare, Courts, Water, First Amendment",7437.0
Regulation for the Sake of Appearance [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Harvard Law Review, Vol. 125, Issue 7 (May 2012), pp. 1563-1638",125 Harv. L. Rev. 1563 (2011-2012),43,na,24,"Regulation, Discipline, Judges, Legal Profession",7437.0
Undue Process [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Stanford Law Review, Vol. 59, Issue 3 (December 2006), pp. 601-672",59 Stan. L. Rev. 601 (December 2006),35,na,17,"Constitutional Law, Politics",7437.0
Originalism's Expiration Date [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Cardozo Law Review, Vol. 30, Issue 3 (December 2008), pp. 1295-1368",30 Cardozo L. Rev. 1295 (2008-2009),29,na,na,"Constitutional Law, Courts, Jurisprudence, Legal Analysis and Writing",7437.0
Unconstitutional Conditions Questions Everywhere: The Implications of Exit and Sorting for Constitutional Law and Theory [article],Adam M. Samaha,"Cox, Adam B. (Cited 840 times); Samaha, Adam M. (Cited 469 times)",,"Journal of Legal Analysis, Vol. 5, Issue 1 (Spring 2013), pp. 61-106",5 J. Legal Analysis 61 (2013),20,na,3,"Constitutional Law, Abortion, Religion",7437.0
Litigant Sensitivity in First Amendment Law [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Northwestern University Law Review, Vol. 98, Issue 4 (2004), pp. 1291-1372",98 Nw. U. L. Rev. 1291 (2003-2004),19,4,9,"Constitutional Law, First Amendment, Jurisprudence, Housing, Housing Law, Law Enforcement, Public Housing, Statutes, Trespass, Criminal Law",7437.0
On Law's Tiebreakers [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"University of Chicago Law Review, Vol. 77, Issue 4 (Fall 2010), pp. 1661-1738",77 U. Chi. L. Rev. 1661 (2010),17,2,11,"Education, Race, Discrimination, Fourteenth Amendment, Government",7437.0
Endorsement Retires: From Religious Symbols to Anti-Sorting Principles [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Supreme Court Review, Vol. 2005, pp. 135-194",2005 Sup. Ct. Rev. 135 (2005),15,na,1,"Courts, Democracy, Government, Religion, Constitutional Law, Judges",7437.0
Low Stakes and Constitutional Interpretation [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"University of Pennsylvania Journal of Constitutional Law, Vol. 13, Issue 2 (December 2010), pp. 305-336",13 U. Pa. J. Const. L. 305 (2010-2011),11,na,4,"Law and Society, Common Law, Religious Freedom",7437.0
"Don't Ask, Must Tell - and Other Combinations [article]",Adam M. Samaha,"Samaha, Adam M. (Cited 469 times); Strahilevitz, Lior Jacob (Cited 1128 times)",,"California Law Review, Vol. 103, Issue 4 (August 2015), pp. 919-988",103 Calif. L. Rev. 919 (August 2015),10,3,13,"Employment Practice, Military, War and Peace, Military Service, Sex, War",7437.0
On the Problem of Legal Change [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Georgetown Law Journal, Vol. 103, Issue 1 (November 2014), pp. 97-156",103 Geo. L.J. 97 (2014-2015),9,na,14,"Law and Society, Judges, Health Law, Sociology, Tobacco",7437.0
Judicial Oversight in Two Dimensions: Charting Area and Intensity in the Decisions of Justice Stevens [comments],Adam M. Samaha,"Danner, Allison Marston (Cited 444 times); Samaha, Adam Marcus (Cited 7 times)",,"Fordham Law Review, Vol. 74, Issue 4 (March 2006), pp. 2051-2080",74 Fordham L. Rev. 2051 (2005-2006),7,na,1,"Constitutional Law, Jurisprudence, Courts, Executive Powers, Foreign Affairs, Military, War and Peace, President/Executive Department",7437.0
Talk about Taking about Constitutional Law [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"University of Illinois Law Review, Vol. 2012, Issue 3 (2012), pp. 783-800",2012 U. Ill. L. Rev. 783 (2012),6,na,1,"Constitutional Law, Jurisprudence, Legal Analysis and Writing, Philosophy, Politics",7437.0
Starting with the Text - On Sequencing Effects in Statutory Interpretation and beyond [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Journal of Legal Analysis, Vol. 8, Issue 2 (Winter 2016), pp. 439-491",8 J. Legal Analysis 439 (2016),6,na,13,"Statutory Interpretation, Evidence, Judges, Practice and Procedure",7437.0
Undue Process: Congressional Referral and Judicial Resistance in the Schiavo Controversy [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Constitutional Commentary, Vol. 22, Issue 3 (Winter 2005), pp. 505-528",22 Const. Comment. 505 (2005),5,na,1,"Politics, Constitutional Law, Courts, Medical Jurisprudence, Guardian Ad Litem, Judges",7437.0
Looking over a Crowd - Do More Interpretive Sources Mean More Discretion [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"New York University Law Review, Vol. 92, Issue 2 (May 2017), pp. 554-[ii]",92 N.Y.U. L. Rev. 554 (2017),4,na,18,"Constitutional Law, Law and Society, Legal Analysis and Writing, Legislation, Business Organizations, Women, Budgets, Evidence, States",7437.0
Death and Paperwork Reduction [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"Duke Law Journal, Vol. 65, Issue 2 (November 2015), pp. 279-344",65 Duke L.J. 279 (2015-2016),4,na,18,"Administration Law, Death, Labor Law, Health Law, Law and Society, Economics",7437.0
Are Commercial Speech Cases Ideological: An Empirical Inquiry [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times); Germano, Roy (Cited 9 times)",,"William & Mary Bill of Rights Journal, Vol. 25, Issue 3 (March 2017), pp. 827-896",25 Wm. & Mary Bill Rts. J. 827 (2016-2017),4,na,17,"Commercial Speech, Law and Society, Politics, Discrimination, Broadcasting, States",7437.0
What Good Is the Social Model of Disability [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)",,"University of Chicago Law Review, Vol. 74, Issue 4 (Fall 2007), pp. 1251-1308",74 U. Chi. L. Rev. 1251 (2007),4,na,5,"Constitutional Law, Taxation-Federal Income, Democracy, Fourth Amendment, History, States, Voting",7437.0
