Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Inheritance and Bankruptcy: The Meaning of the Fresh Start [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Hastings Law Journal, Vol. 45, Issue 2 (January 1994), pp. 175-248","Hastings Law Journal, ",Vol.  45,2 (January 1994),175-248,45 Hastings L.J. 175 (1993-1994),30,4,12,"Bankruptcy, Bankruptcy Law, Inheritance, Probate Law, Interest",2172
"Trusts for Purposes: Policy, Ambiguity, and Anomaly in the Uniform Laws [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 26, Issue 4 (Summer 1999), pp. 913-958","Florida State University Law Review, ",Vol.  26,4 (Summer 1999),913-958,26 Fla. St. U. L. Rev. 913 (1998-1999),29,2,14,"Estate Planning, Trusts, Uniform Laws, Comparative Law, Legal History",2172
Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Southern California Law Review, Vol. 76, pp. 1331-1370","Southern California Law Review, ",Vol.  76,na,1331-1370,76 S. Cal. L. Rev. 1331 (2002-2003),24,na,6,"Jurisprudence, Economics, Law and Society",2172
Evolutionary Theories of Common Law Efficiency: Reasons for (Cognitive) Skepticism [notes],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 32, Issue 2 (Winter 2005), pp. 425-442","Florida State University Law Review, ",Vol.  32,2 (Winter 2005),425-442,32 Fla. St. U. L. Rev. 425 (2004-2005),21,na,21,"Common Law, Practice and Procedure, Jurisprudence",2172
Revisions in Need of Revising: The Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 29, Issue 1 (Fall 2001), pp. 109-188","Florida State University Law Review, ",Vol.  29,1 (Fall 2001),109-188,29 Fla. St. U. L. Rev. 109 (2001-2002),19,na,5,"Disclaimers, Estate Planning, Inheritance, Property, Trusts, Estates, States",2172
Incomplete Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Michigan Law Review, Vol. 111, Issue 8 (June 2013), pp. 1423-1480","Michigan Law Review, ",Vol.  111,8 (June 2013),1423-1480,111 Mich. L. Rev. 1423 (2012-2013),16,na,5,"Wills, Estates, Statutes",2172
Formalizing Gratuitous and Contractual Transfers: A Situational Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Review, Vol. 91, Issue 4 (2014), pp. 797-866","Washington University Law Review, ",Vol.  91,4 (2014),797-866,91 Wash. U. L. Rev. 797 (2013-2014),15,na,17,"Contracts, Jurisprudence, Gifts, Wills, Partnerships, Sales",2172
Law and Proximity [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Mitchell, Gregory (Cited 980 times)","University of Illinois Law Review, Vol. 2008, Issue 2 (2008), pp. 557-598","University of Illinois Law Review, ",Vol.  2008,2 (2008),557-598,2008 U. Ill. L. Rev. 557 (2008),10,na,15,"Jurisprudence, Psychiatry and Psychology, Deregulation, Assignments",2172
The Code Breakers: How States Are Modifying the Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 46, Issue 2 , pp. 325-376","Real Property, Trust and Estate Law Journal, ",Vol.  46,2,325-376,46 Real Prop. Tr. & Est. L.J. 325 (2011-2012),9,na,1,"Estates, Property, States, Disclaimers, Estate Planning, Inheritance, Trusts, Marijuana, Medical Marijuana",2172
Disclaimers and Federalism [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Vanderbilt Law Review, Vol. 67, Issue 6 (November 2014), pp. 1871-1930","Vanderbilt Law Review, ",Vol.  67,6 (November 2014),1871-1930,67 Vand. L. Rev. 1871 (2014),7,na,4,"Bankruptcy Law, Disclaimers, Federalism, Retirement, Juveniles, Minors, Taxation-Federal",2172
Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Southern California Law Review, Vol. 76, Issue 3 (March 2003), pp. 599-638","Southern California Law Review, ",Vol.  76,3 (March 2003),599-638,76 S. Cal. L. Rev. 599 (2002-2003),6,na,10,"Jurisprudence, Economics, Law and Society",2172
Inheritance on the Fringes of Marriage [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","University of Illinois Law Review, Vol. 2018, Issue 1 (2018), pp. 235-280","University of Illinois Law Review, ",Vol.  2018,1 (2018),235-280,2018 U. Ill. L. Rev. 235 (2018),4,na,20,"Inheritance, Marriage, Comparative Law, Legislation, Probate Law, Domestic Relations, Estate Planning",2172
Testation and the Mind [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington and Lee Law Review, Vol. 74, Issue 1 (Winter 2017), pp. 285-368","Washington and Lee Law Review, ",Vol.  74,1 (Winter 2017),285-368,74 Wash. & Lee L. Rev. 285 (Winter 2017),4,na,19,"Estates, Estate Planning, Inheritance, Jurisprudence, Evidence, States",2172
Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 50, Issue 2 (Fall 2015), pp. 175-266","Real Property, Trust and Estate Law Journal, ",Vol.  50,2 (Fall 2015),175-266,50 Real Prop. Tr. & Est. L.J. 175 (2015-2016),3,na,18,"Children, Wills, Bankruptcy Law, Courts, Domestic Relations, Domestic Violence, Federal Courts, Violence",2172
"Gulliver and Tilson, the Classification of Gratuitous Transfers - a Belated Review [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","University of Queensland Law Journal, Vol. 35, Issue 1 (2016), pp. 127-134","University of Queensland Law Journal, ",Vol.  35,1 (2016),127-134,35 U. Queensland L.J. 127 (2016),1,na,13,"Wills, Contracts, Jurisprudence",2172
Teaching Wills and Trusts: The Jurisdictional Problem [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Saint Louis University Law Journal, Vol. 58, Issue 3 (Spring 2014), pp. 681-688","Saint Louis University Law Journal, ",Vol.  58,3 (Spring 2014),681-688,58 St. Louis U. L.J. 681 (2013-2014),1,na,2,"Trusts, Wills, Estates, Property",2172
Defective Catastrophe Clauses in Wills: Paths to Reform [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 52, Issue 3 (Winter 2018), pp. 339-368","Real Property, Trust and Estate Law Journal, ",Vol.  52,3 (Winter 2018),339-368,52 Real Prop. Tr. & Est. L.J. 339 (2017-2018),1,na,6,"Wills, Common Law, Courts, Equity, Property, Property Law",2172
Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","GP Solo, Vol. 34, Issue 2 (March/April 2017), pp. 56-57","GP Solo, ",Vol.  34,2 (March/April 2017),56-57,34 GPSolo 56 (2017),na,na,2,"Children, Wills, Statutes",2172
From Pillory to Penitentiary: The Rise of Criminal Incarceration in Early Massachusetts [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Michigan Law Review, Vol. 80, Issue 6 (May 1982), pp. 1179-1269","Michigan Law Review, ",Vol.  80,6 (May 1982),1179-1269,80 Mich. L. Rev. 1179 (May 1982),na,na,na,"General, Research, International Law",2172
The State (Never) Rests: How Excessive Prosecutorial Caseloads Harm Criminal Defendants [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times); Killinger, Laura R. (Cited 61 times)","Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 261-302","Northwestern University Law Review, ",Vol.  105,1 (Winter 2011),261-302,105 Nw. U. L. Rev. 261 (2011),60,na,66,"Criminal Law and Procedure, Legal Profession, Military, War and Peace",1244
The iPhone Meets the Fourth Amendment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","UCLA Law Review , Vol. 56, Issue 1 (October 2008), pp. 27-58","UCLA Law Review , ",Vol.  56,1 (October 2008),27-58,56 UCLA L. Rev. 27 (2008-2009),59,10,42,"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections, Intellectual Property Law",1244
Prosecutorial Shaming: Naming Attorneys to Reduce Prosecutorial Misconduct [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","U.C. Davis Law Review, Vol. 42, Issue 4 (April 2009), pp. 1059-1106","U.C. Davis Law Review, ",Vol.  42,4 (April 2009),1059-1106,42 U.C. Davis L. Rev. 1059 (2008-2009),51,3,62,"Criminal Law and Procedure, Legal Profession, Professional Ethics",1244
"Supreme Court's Backwards Proportionality Jurisprudence: Comparing Judicial Review of Excessive Criminal Punishments and Excessive Punitive Damages Awards, The [notes]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Virginia Law Review, Vol. 86, Issue 6 (September 2000), pp. 1249-1302","Virginia Law Review, ",Vol.  86,6 (September 2000),1249-1302,86 Va. L. Rev. 1249 (2000),42,1,6,"Courts, Criminal Law and Procedure, Punitive Damages, Remedies, Jurisprudence, Torts",1244
"Informational Approach to the Mass Imprisonment Problem, An [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Arizona State Law Journal, Vol. 40, Issue 1 (Spring 2008), pp. 47-84","Arizona State Law Journal, ",Vol.  40,1 (Spring 2008),47-84,40 Ariz. St. L.J. 47 (Spring 2008),39,na,21,"Criminal Law and Procedure, Law Enforcement and Corrections, Legal Profession, Sentencing and Punishment, Criminal Procedure, Grand Juries, Politics",1244
Password Protected - Can a Password Save Your Cell Phone from a Search Incident to Arrest [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Iowa Law Review, Vol. 96, Issue 4 (May 2011), pp. 1125-1176","Iowa Law Review, ",Vol.  96,4 (May 2011),1125-1176,96 Iowa L. Rev. 1125 (May 2011),35,2,27,"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections",1244
Statewide Capital Punishment: The Case for Eliminating Counties' Role in the Death Penalty [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Vanderbilt Law Review, Vol. 63, Issue 2 (March 2010), pp. 307-360","Vanderbilt Law Review, ",Vol.  63,2 (March 2010),307-360,63 Vand. L. Rev. 307 (2010),34,na,49,"Criminal Law and Procedure, State and Local Government Law, Judges, Civil Rights, Race and Ethnicity",1244
Raise the Proof: A Default Rule for Indigent Defense [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Connecticut Law Review, Vol. 40, Issue 1 (November 2007), pp. 85-124","Connecticut Law Review, ",Vol.  40,1 (November 2007),85-124,40 Conn. L. Rev. 85 (2007-2008),32,na,19,"Criminal Law and Procedure, Social Welfare Law, Constitutional Law, Courts",1244
The Invisible Pillar of Gideon [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Indiana Law Journal, Vol. 80, Issue 3 (Summer 2005), pp. 571-604","Indiana Law Journal, ",Vol.  80,3 (Summer 2005),571-604,80 Ind. L.J. 571 (2005),30,na,7,"Indigents, Law Enforcement and Corrections, Attorneys, Criminal Law and Procedure, Legal Representation, Right to Counsel",1244
Imposing a Cap on Capital Punishment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Missouri Law Review, Vol. 72, Issue 1 (Winter 2007), pp. 73-124","Missouri Law Review, ",Vol.  72,1 (Winter 2007),73-124,72 Mo. L. Rev. 73 (2007),18,na,10,"Criminal Law and Procedure, Law and Society, Law Enforcement and Corrections",1244
12 Unnecessary Men: The Case for Eliminating Jury Trials in Drunk Driving Cases [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","University of Illinois Law Review, Vol. 2011, Issue 3 (2011), pp. 961-1010","University of Illinois Law Review, ",Vol.  2011,3 (2011),961-1010,2011 U. Ill. L. Rev. 961 (2011),15,na,11,"Drunk Driving, Jury, Practice and Procedure, Sentencing, Trials, Alcohol, Dram Shop Laws, Liability, Social Host Liability, Statutory Construction",1244
"Pay Now, Execute Later: Why Counties Should Be Required to Post a Bond to Seek the Death Penalty [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","University of Richmond Law Review , Vol. 41, Issue 4 (May 2007), pp. 861-896","University of Richmond Law Review , ",Vol.  41,4 (May 2007),861-896,41 U. Rich. L. Rev. 861 (2006-2007),15,2,12,"Criminal Law and Procedure, State and Local Government Law",1244
The Diffusion of Responsibility in Capital Clemency [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Journal of Law & Politics, Vol. 17, Issue 4 (Fall 2001), pp. 669-712","Journal of Law & Politics, ",Vol.  17,4 (Fall 2001),669-712,17 J.L. & Pol. 669 (2001),14,na,12,"Criminal Law and Procedure, Sentencing, Capital Punishment, Clemency, Governors, Pardons, State Agencies",1244
Texting while Driving Meets the Fourth Amendment: Deterring Both Texting and Warrantless Cell Phone Searches [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Arizona Law Review, Vol. 54, Issue 3 (2012), pp. 577-620","Arizona Law Review, ",Vol.  54,3 (2012),577-620,54 Ariz. L. Rev. 577 (2012),11,na,54,"Cell Phones, Communications Law, Fourth Amendment, Law Enforcement and Corrections, Traffic Laws, Motor Vehicles",1244
Imputed Liability for Supervising Prosecutors: Applying the Military Doctrine of Command Responsibility to Reduce Prosecutorial Misconduct [article],Adam M. Gershowitz,"Corn, Geoffrey S. (Cited 407 times); Gershowitz, Adam M. (Cited 516 times)","Berkeley Journal of Criminal Law, Vol. 14, Issue 2 (2010), pp. 395-438","Berkeley Journal of Criminal Law, ",Vol.  14,2 (2010),395-438,14 Berkeley J. Crim. L. 395 (2009-2010),11,na,8,"Military, War and Peace, Criminal Law and Procedure, Legal Profession, Professional Ethics",1244
The Post-Riley Search Warrant: Search Protocols and Particularity in Cell Phone Searches [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Vanderbilt Law Review, Vol. 69, Issue 3 (April 2016), pp. 585-638","Vanderbilt Law Review, ",Vol.  69,3 (April 2016),585-638,69 Vand. L. Rev. 585 (2016),7,2,34,"Criminal Law and Procedure, Information Privacy, Communications Law, Science and Technology",1244
Consolidating Local Criminal Justice: Should the Prosecutors Control the Jails [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Wake Forest Law Review, Vol. 51, Issue 3 (2016), pp. 677-704","Wake Forest Law Review, ",Vol.  51,3 (2016),677-704,51 Wake Forest L. Rev. 677 (2016),7,na,24,"Jurisdiction, Law Enforcement, Criminal Law and Procedure, Legal Profession, Sentencing and Punishment, Law Enforcement and Corrections",1244
"Seizing a Cell Phone Incident to Arrest: Data Extraction Devices, Faraday Bags, or Aluminum Foil as a Solution to the Warrantless Cell Phone Search Problem [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","William & Mary Bill of Rights Journal, Vol. 22, Issue 2 (December 2013), pp. 601-612","William & Mary Bill of Rights Journal, ",Vol.  22,2 (December 2013),601-612,22 Wm. & Mary Bill Rts. J. 601 (2013-2014),7,na,20,"Communications Law, Law Enforcement and Corrections, Criminal Law and Procedure, Information Privacy",1244
An NTSB for Capital Punishment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Texas Tech Law Review, Vol. 47, Issue 1 (Fall 2014), pp. 151-178","Texas Tech Law Review, ",Vol.  47,1 (Fall 2014),151-178,47 Tex. Tech L. Rev. 151 (2014-2015),6,na,22,"Capital Punishment, Punishment, Aviation, Administrative Law",1244
Is Texas Tough on Crime but Soft on Criminal Procedure [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","American Criminal Law Review, Vol. 49, Issue 1 (Winter 2012), pp. 31-72","American Criminal Law Review, ",Vol.  49,1 (Winter 2012),31-72,49 Am. Crim. L. Rev. 31 (2012),5,na,24,"Sentencing, Supreme Court of the United States, Race and Ethnicity, Criminal Law and Procedure, Jurisprudence, Legal Analysis and Writing, Psychiatry and Psychology",1244
Rethinking the Timing of Capital Clemency [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Michigan Law Review, Vol. 113, Issue 1 (October 2014), pp. 1-56","Michigan Law Review, ",Vol.  113,1 (October 2014),Jan-56,113 Mich. L. Rev. 1 (2014-2015),4,na,18,"Criminal Law and Procedure, President/Executive Department",1244
Google Glass While Driving [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Arizona State Law Journal, Vol. 47, Issue 3 (Fall 2015), pp. 755-800","Arizona State Law Journal, ",Vol.  47,3 (Fall 2015),755-800,47 Ariz. St. L.J. 755 (2015),2,na,8,"Communications Law, Science and Technology, Traffic Laws, Legislation, Employment Practice, Labor Law, Privacy",1244
Delaware's Capital Jury Selection: Inadequate Voir Dire and the Problem of Automatic Death Penalty Jurors [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Delaware Law Review, Vol. 2, Issue 2 (1999), pp. 235-270","Delaware Law Review, ",Vol.  2,2 (1999),235-270,2 Del. L. Rev. 235 (1999),2,na,5,"Criminal Law and Procedure, Evidence",1244
Post-Trial Plea Bargaining in Capital Cases: Using Conditional Clemency to Remove Weak Cases from Death Row [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Washington and Lee Law Review, Vol. 73, Issue 3 (Summer 2016), pp. 1359-1394","Washington and Lee Law Review, ",Vol.  73,3 (Summer 2016),1359-1394,73 Wash. & Lee L. Rev. 1359 (2016),1,na,14,"President/Executive Department, Sentencing, Criminal Law and Procedure, Women",1244
The Wire as a Gap-Filling Class on Criminal Law and Procedure [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Journal of Legal Education, Vol. 64, Issue 1 (August 2014), pp. 117-119","Journal of Legal Education, ",Vol.  64,1 (August 2014),117-119,64 J. Legal Educ. 117 (2014-2015),na,na,11,"Criminal Law, Criminal Law and Procedure, Procedure, Law and Society, Criminal Procedure",1244
Get in the Game or Get out of the Way: Fixing the Politics of Death [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Virginia Law Review in Brief, Vol. 94, pp. 51-56","Virginia Law Review in Brief, ",Vol.  94,na,51-56,94 Va. L. Rev. Brief 51 (2008),na,na,na,"Criminal Law and Procedure, Juveniles",1244
Criminal-Justice Apps: A Modest Step toward Democratizing the Criminal Process [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Virginia Law Review Online, Vol. 105, pp. 37-56","Virginia Law Review Online, ",Vol.  105,na,37-56,105 Va. L. Rev. Online 37 (2019),na,na,na,na,1244
Dead Hand Arguments and Constitutional Interpretation [article],Adam M. Samaha,"Samaha, Adam M. (Cited 469 times)","Columbia Law Review , Vol. 108, Issue 3 (April 2008), pp. 606-680","Columbia Law Review , ",Vol.  108,3 (April 2008),606-680,108 Colum. L. Rev. 606 (2008),64,na,22,"Constitutional Law, Courts",7437
